brand,model,model_year,engine,transmission,int_col,accident,price
INFINITI,QX56 Base,2011,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Beige,None reported,12000
Jeep,Wrangler Unlimited Sport,2019,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,39799
Ford,Mustang Boss 302,2012,444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,M/T,Black,None reported,49990
Hummer,H3 Base,2010,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,13500
Cadillac,Escalade Luxury,2013,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,At least 1 accident or damage reported,22000
Porsche,Panamera Edition,2016,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,45000
Lexus,LX 470 Base,1999,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,25000
RAM,ProMaster 3500 Tradesman,2014,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,–,None reported,13000
Subaru,Impreza WRX,2005,227.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,12499
Mazda,Mazda6 i Touring,2015,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,At least 1 accident or damage reported,12900
BMW,530 i xDrive,2021,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,None reported,32085
Saturn,Sky Red Line,2008,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,14995
Honda,Civic Type R Touring,2018,306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,35500
Dodge,Charger R/T 392,2017,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,37000
BMW,650 i xDrive,2015,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,32000
Jeep,Wrangler Unlimited Sahara,2020,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,None reported,35234
INFINITI,Q60 3.0t Red Sport 400,2022,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,54000
Hyundai,IONIQ Plug-In Hybrid SEL,2022,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Gray,At least 1 accident or damage reported,24999
Subaru,Outback 3.0 R VDC Limited,2005,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,7100
Toyota,RAV4 Base,2009,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,–,None reported,12000
GMC,Sierra 1500 Denali,2019,5.3L V8 16V GDI OHV,Automatic,Walnut,None reported,51899
GMC,Sierra 1500 SLE Crew Cab,2005,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,At least 1 accident or damage reported,5800
Porsche,Boxster S,2005,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,21750
Toyota,Corolla CE,2008,126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,5199
Alfa,Romeo Giulia Ti,2017,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,,23000
Jeep,Gladiator Freedom,2021,3.6 Liter,Automatic,Black,None reported,39998
Tesla,Model X Performance,2020,778.0HP Electric Motor Electric Fuel System,A/T,Beige,None reported,68969
BMW,328 i,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,13349
Chevrolet,1500 Cheyenne Extended Cab,1995,–,4-Speed A/T,Brown,At least 1 accident or damage reported,6500
Ford,Explorer XLT,2022,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Ebony,None reported,38978
Nissan,Versa 1.8 S,2011,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,–,None reported,4000
Lexus,GX 460 Premium,2020,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,45900
Lincoln,MKC Reserve,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,24000
Dodge,Charger SRT8,2008,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,At least 1 accident or damage reported,15500
Volkswagen,Jetta SportWagen SE,2012,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,9499
Tesla,Model Y Performance,2023,455.0HP Electric Motor Electric Fuel System,A/T,White,None reported,53900
Ford,Mustang SVT Cobra,2003,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,,24500
Lincoln,MKC Base,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,14900
Chevrolet,Suburban LT,2017,6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,29000
Maserati,Ghibli S Q4,2016,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,None reported,36000
Volkswagen,Jetta GLX VR6,2002,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,4300
Land,Rover Range Rover Evoque S,2020,2.0 Liter,Automatic,Cloud,None reported,36998
Dodge,Durango SRT 392,2021,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,65000
Honda,Ridgeline RTL-E,2021,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,None reported,38500
Toyota,Sequoia SR5,2013,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,At least 1 accident or damage reported,18800
Porsche,911 Carrera C4S,2006,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,,43000
Audi,SQ5 3.0T Premium Plus,2016,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,24700
Cadillac,Escalade ESV Base,2009,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,At least 1 accident or damage reported,12350
Mercedes-Benz,AMG GLS 63 4MATIC,2022,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,None reported,144664
Porsche,Panamera GTS,2015,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,52590
Mitsubishi,Lancer Evolution GSR,2013,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,28000
Genesis,GV70 3.5T Sport,2022,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,Red,None reported,48219
Mercedes-Benz,S-Class S 560 4MATIC,2019,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,55900
Dodge,Challenger R/T,2014,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,None reported,19750
RAM,1500 Tradesman/Express,2017,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Black,At least 1 accident or damage reported,25307
Chrysler,300 S,2016,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,17500
Land,Rover Range Rover Evoque HSE Dynamic,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,None reported,24000
GMC,Sierra 2500 AT4,2020,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Beige,None reported,69500
Tesla,Model Y Performance,2023,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,None reported,60000
Mazda,CX-5 Grand Touring,2021,2.5L I4 16V GDI DOHC,6-Speed Automatic,Black,,28991
Dodge,Ram 1500 ST,2011,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,8500
Mazda,CX-9 Grand Touring,2021,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,At least 1 accident or damage reported,32541
Jeep,Gladiator Rubicon,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,47500
Karma,Revero Base,2018,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,Black,None reported,55500
Mazda,CX-9 Signature,2018,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Brown,None reported,32250
BMW,M760 M760i xDrive,2020,6.6 Liter Twin Turbo,Automatic,Black,None reported,80998
Mercedes-Benz,AMG G AMG G 63 4MATIC,2016,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,At least 1 accident or damage reported,90000
GMC,Acadia SLE,2021,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,30900
Audi,S5 3.0T Prestige,2021,3.0L,1-Speed Automatic,Magma Red,None reported,57900
Lexus,LX 570 Three-Row,2021,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,89999
Mercedes-Benz,Metris Base,2020,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,48000
Nissan,Titan XD S,2019,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,None reported,27900
Mercedes-Benz,C-Class C 250 Sport,2014,201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,14500
GMC,Yukon XL SLT,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,34999
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,19000
Hyundai,Genesis Coupe 3.8 Track,2011,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,12000
Lexus,IS 300 Base,2017,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,None reported,28450
Audi,allroad 2.0T Prestige,2013,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,17900
Hyundai,Santa Fe SE,2022,2.5L I4 16V PDI DOHC,8-Speed Automatic,Black,None reported,27450
Chevrolet,Corvette Base,2008,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,None reported,35900
Mazda,MX-5 Miata Base,2003,142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,None reported,22000
Kia,Telluride EX,2022,3.8L V6 24V GDI DOHC,8-Speed Automatic,Gray,None reported,46787
BMW,X3 sDrive30i,2021,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,39990
Dodge,Durango GT,2020,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,40000
Cadillac,ATS 2.0L Turbo Luxury,2016,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,16500
Ford,Shelby GT350 Base,2018,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,60867
RAM,1500 Limited,2019,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,None reported,44000
Porsche,911 Carrera S Cabriolet,2007,3.8L H6 24V MPFI DOHC,6-Speed Manual,Beige,,69995
Ford,F-150 Raptor,2022,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Rhapsody Blue,None reported,77900
Toyota,Land Cruiser Base,2000,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,15900
GMC,Acadia Denali,2015,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,19780
Nissan,Titan SV,2021,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,None reported,39884
Lexus,RX 350 F Sport,2023,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black,None reported,59950
Acura,TLX Tech,2023,2.0 Liter DOHC Turbo,Automatic,Black,None reported,41998
Lexus,RX 350 F Sport,2017,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,None reported,33000
Chevrolet,Corvette Stingray w/2LT,2021,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,83900
Subaru,Impreza 2.0i Sport,2017,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,23500
Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,2017,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,47500
Buick,Envision Preferred,2019,197.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,27000
Chevrolet,Silverado 1500 RST,2020,5.3L V8 16V GDI OHV,Automatic,Jet Black,,41986
Nissan,Sentra SR,2016,1.8 Liter,Automatic,Black,None reported,13998
BMW,M5 Base,2013,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,32000
Lexus,ES 350 Base,2016,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,27500
Buick,Envision Essence,2020,2.5L I4 16V GDI DOHC,6-Speed Automatic,Ebony,None reported,31700
Lexus,RX 350 F Sport Performance,2020,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,None reported,43599
BMW,740 i,2016,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,23999
GMC,Sierra 3500 SLE,2002,300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,Gray,At least 1 accident or damage reported,5000
BMW,750 i,2018,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,41250
Hyundai,Equus Signature,2013,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,17500
Acura,MDX w/Technology Package,2023,3.5 Liter SOHC,F,Parchment.,None reported,54998
Chevrolet,Camaro 1SS,2021,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,43500
Chevrolet,Suburban LT,2019,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,39000
Porsche,Cayenne Diesel,2014,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Black,None reported,33500
INFINITI,Q40 Base,2015,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,11500
Chevrolet,Corvette Base,2000,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,10000
Lexus,IS 350 Base,2014,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,21000
Ford,Taurus SHO,2011,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,4700
Mercedes-Benz,E-Class E 300,2019,2.0 Liter Turbo,Automatic,Beige,None reported,33998
Lexus,LX 600 F SPORT,2023,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,120990
BMW,M3 Competition xDrive,2023,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,95580
Acura,TLX w/A-Spec Package,2022,2.0 Liter DOHC Turbo,2,Ebony,None reported,39998
BMW,M5 Base,2021,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Aragon Brown,None reported,86900
Porsche,Taycan 4S,2022,482.0HP Electric Motor Electric Fuel System,2-Speed A/T,–,None reported,108000
Audi,A5 2.0T Premium Plus,2019,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,34995
Toyota,Sienna XLE Limited,2007,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,At least 1 accident or damage reported,11500
Cadillac,Escalade ESV Platinum,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,29500
Buick,LaCrosse Base,2017,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,20000
Ford,Mustang SVT Cobra,2003,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,M/T,Beige,None reported,35500
Nissan,Pathfinder SL,2018,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,,14500
BMW,X1 xDrive28i,2019,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,34500
Chevrolet,Corvette Stingray w/2LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,88900
Toyota,Tundra Platinum,2023,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,68500
Land,Rover Range Rover P400 SE SWB,2022,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,None reported,139500
Lexus,LX 570 Base,2013,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,29995
Maserati,Quattroporte Modena Q4,2023,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Tan,None reported,125900
Toyota,Camry Hybrid XLE,2018,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Beige,None reported,29500
Ford,Mustang EcoBoost Premium,2018,–,A/T,Gray,At least 1 accident or damage reported,25000
Mercedes-Benz,CLA-Class CLA 250,2014,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,16500
Ford,Bronco Heritage Edition Advanced,2023,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,7-Speed M/T,–,None reported,60000
Land,Rover Defender SE,2022,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Beige,None reported,75000
Kia,Telluride SX,2021,3.8L V6 24V GDI DOHC,8-Speed Automatic,Black,None reported,44315
Land,Rover Range Rover Supercharged LWB,2020,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,64800
Audi,RS 7 4.0T Prestige,2016,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,67000
MINI,Clubman Cooper S ALL4,2017,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,17390
Hyundai,Santa Fe GLS,2015,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,13000
MINI,Cooper S Clubman Base,2009,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,6950
Subaru,Outback 3.6R Limited,2016,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,19500
BMW,X6 M Base,2021,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,101000
Toyota,Land Cruiser,2016,5.7 Liter,Automatic,Black,None reported,65998
Jeep,Wrangler Unlimited X,2007,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,15750
Chevrolet,Suburban RST,2022,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,None reported,69000
Toyota,Land Cruiser Base,1996,–,A/T,Gray,None reported,7500
BMW,M3 Base,2009,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,At least 1 accident or damage reported,28750
Ford,F-150 XLT,2020,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Medium Light Camel,None reported,36994
BMW,740 Li,2012,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,18500
INFINITI,Q50 3.0t Red Sport 400,2020,3.0L V6 24V GDI DOHC Twin Turbo,7-Speed Automatic,White,None reported,36999
Toyota,Tacoma Base,2020,3.5 Liter,6 Speed At/Mt,Black/Gun Metal,None reported,42998
INFINITI,QX60 Base,2017,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,16000
Toyota,Highlander XLE,2020,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,36999
Toyota,Highlander Hybrid Limited,2018,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Beige,None reported,35707
Chevrolet,Camaro Z28,1999,305.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,None reported,15000
BMW,Z4 3.0i Roadster,2006,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,At least 1 accident or damage reported,11500
Chevrolet,Silverado 1500 1LT,2018,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,None reported,32000
Jeep,Wrangler Unlimited Sport,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,36500
Ford,Expedition Platinum,2018,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,None reported,51499
Mazda,MX-5 Miata Base,1999,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,At least 1 accident or damage reported,12900
BMW,M340 i xDrive,2022,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Red,None reported,56900
Jaguar,F-PACE S,2020,3.0 Liter,Automatic,Pimento Red w/Ebony,None reported,47598
Toyota,Tundra SR5,2016,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,29950
Ford,F-250 XLT,2019,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,None reported,46500
Cadillac,Escalade Premium Luxury,2022,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,86999
Toyota,Tacoma SR5,2018,3.5L V6 24V PDI DOHC,6-Speed Automatic,Gray,At least 1 accident or damage reported,34955
Buick,Enclave Avenir,2021,3.6L V6 24V GDI DOHC,9-Speed Automatic,Chestnut,At least 1 accident or damage reported,42442
Kia,Optima Hybrid EX,2013,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,Beige,None reported,9000
Cadillac,XTS Luxury,2019,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,22500
Porsche,Cayenne Diesel,2015,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,None reported,29995
Lincoln,MKZ Select,2017,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,At least 1 accident or damage reported,12500
BMW,M760 i xDrive,2021,"6.6L V-12 gasoline direct injection, DOHC, variable valve contro","Automatic, 8-Spd Sport w/Sport & Manual Modes",WHITE,None reported,91900
Lincoln,Navigator Reserve,2019,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Beige,None reported,52999
Mercedes-Benz,AMG C 63 S,2017,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,52500
Kia,Stinger GT1,2021,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,45899
BMW,M235 i,2015,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,None reported,27890
BMW,X4 M Competition,2020,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Orange,None reported,60000
Ford,Expedition Max King Ranch,2020,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Brown,At least 1 accident or damage reported,53722
Ford,Ranger XLT SuperCab,2002,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,At least 1 accident or damage reported,6450
Chevrolet,Trailblazer RS,2022,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,Jet Black,None reported,28495
Tesla,Model 3 Long Range,2021,Electric Motor Electric Fuel System,A/T,Black,None reported,42500
Porsche,Boxster Base,1997,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,,8500
Maserati,Quattroporte Base,2005,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,At least 1 accident or damage reported,2954083
Mercedes-Benz,SLK-Class SLK320,2001,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,None reported,6500
Mercedes-Benz,G-Class G 550 4MATIC,2021,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,135800
Porsche,Panamera 4S,2010,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,28600
Porsche,Cayenne Platinum Edition,2017,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,30990
Land,Rover Range Rover 3.0L Supercharged,2018,5.0 Liter,Automatic,Espresso,None reported,63998
Land,Rover Range Rover 5.0L V8 Supercharged,2019,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,65000
Volvo,XC90 3.2,2011,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,11500
Mazda,MX-5 Miata Base,1999,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,9000
GMC,Sierra 2500 Denali,2015,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Brown,None reported,49000
Acura,RSX Type S,2006,201.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,,14990
INFINITI,G35 Base,2003,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,None reported,9500
Audi,S4 Base,2007,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,10995
Toyota,Sequoia Limited,2012,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,17500
Honda,Civic Si Base,2020,205.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,27500
Lexus,RX 350 Base,2021,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,None reported,44950
Ford,F-250 Lariat,2019,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Black,None reported,47756
Chevrolet,Silverado 1500 1LZ,2014,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,At least 1 accident or damage reported,26000
Ford,Fusion SE,2011,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,6000
